t,x,y,yaw
201.466677173,-0.007322661428330663,-0.06600324493202853,-0.027662766609296008
201.516677176,-0.007321707723570555,-0.06600313977318095,-0.02766243882189037
201.566677179,-0.007321707738688213,-0.06600308059441759,-0.02766266277759564
201.616677181,-0.007322184554183755,-0.06600309488674977,-0.02766264707774511
201.666677184,-0.007322422975334423,-0.06600352708080327,-0.02766267749115758
201.716677187,-0.0073209924532037654,-0.06600372049300984,-0.027662513495821363
201.766677189,-0.007322184578724378,-0.06600384061361482,-0.02766248351345134
201.816677192,-0.007321469310190795,-0.0660040637665971,-0.02766291554247849
201.866677194,-0.0073221845748210855,-0.0660043024276997,-0.027662528416146748
201.916677197,-0.0073221845769887136,-0.06600430248853546,-0.02766249842057377
201.9666772,-0.007321946167205691,-0.0660044368424912,-0.02766272225484531
202.016677202,-0.00732242301104761,-0.06600463073952953,-0.027662900240646722
202.066677205,-0.007322184579657977,-0.06600483899089479,-0.027662468914727987
202.116677207,-0.007321946161232311,-0.06600500290381432,-0.02766240924914914
202.16667721,-0.007321946130801913,-0.066004912645193,-0.027662721640428593
202.216677213,-0.007321469321851058,-0.06600494323882844,-0.02766233481935407
202.266677215,-0.007321469337052323,-0.06600497346698567,-0.027662379304744505
202.316677218,-0.007322184594942848,-0.06600495862597261,-0.027662796446789477
202.36667722,-0.007322422987287307,-0.0660047194772567,-0.02766275164290779
202.416677223,-0.007321707727382431,-0.06600489817012173,-0.027663080016654712
202.466677226,-0.007322184575378458,-0.06600489847383698,-0.02766263251604186
202.516677228,-0.007322184564623925,-0.06600498757657874,-0.02766290107197229
202.566677231,-0.007322184558260384,-0.06600513640560576,-0.027662677175076894
202.616677233,-0.007322661410940025,-0.06600550935982834,-0.02766273688845075
202.666677236,-0.0073221845610550555,-0.06600580701834598,-0.02766324310442061
202.716677239,-0.007322184572157947,-0.06600609044444003,-0.027662871083484617
202.766677241,-0.007321707730678738,-0.06600610522438552,-0.02766281136723908
202.816677244,-0.007321469303554691,-0.06600623909165514,-0.02766318397488228
202.866677246,-0.007321946162221647,-0.06600606088570803,-0.02766263286024311
202.916677249,-0.007320992483598484,-0.06600609056727055,-0.02766309465498565
202.966677252,-0.007321946116701459,-0.0660060596081569,-0.027662602648654347
203.016677254,-0.007321707728873402,-0.066006492593539,-0.027663124238182867
203.066677257,-0.007321469323578912,-0.06600679098185404,-0.02766260308612702
203.11667726,-0.007322661394908826,-0.06600690958156484,-0.027662856376680322
203.166677262,-0.007322422989293847,-0.06600686524335095,-0.027662871308928715
203.216677265,-0.007321469297511639,-0.0660067306472111,-0.027662870557408653
203.266677267,-0.0073217077378504684,-0.06600682066225756,-0.027662736551560013
203.31667727,-0.0073219461522334986,-0.06600696955188856,-0.02766297493154161
203.366677273,-0.007321469304362881,-0.06600710335855421,-0.027662989912740674
203.416677275,-0.007322184573342363,-0.06600735704248177,-0.02766264711102232
203.466677278,-0.007321946161280238,-0.0660073721263743,-0.027662915298699575
203.51667728,-0.0073217077213315685,-0.06600769934362394,-0.027662751720390972
